State,County,Cases,Deaths
Georgia,Berrien,"1,979",47
Georgia,Cook,"1,976",44
Georgia,Jeff Davis,"1,948",44
Georgia,Banks,"1,902",39
Georgia,Greene,"1,864",62
Georgia,Worth,"1,826",69
Georgia,Rabun,"1,821",51
Georgia,Charlton,"1,729",36
Georgia,Brantley,"1,724",41
Georgia,Bacon,"1,703",40
Georgia,Bleckley,"1,562",52
Georgia,Oglethorpe,"1,522",31
Georgia,Dade,"1,505",14
Georgia,Brooks,"1,442",50
Georgia,Jasper,"1,429",40
Georgia,Telfair,"1,377",60
Georgia,Towns,"1,302",60
Georgia,Early,"1,207",47
Georgia,Johnson,"1,151",50
Georgia,Wilkes,"1,125",31
Georgia,Stewart,"1,109",25
Georgia,Dooly,"1,102",44
Georgia,Atkinson,"1,085",23
Georgia,Turner,"1,072",42
Georgia,Irwin,"1,047",31
Georgia,Screven,"1,042",33
Georgia,Evans,"1,031",33
Georgia,Candler,"1,012",68
Georgia,Clinch,993,27
Georgia,Seminole,975,19
Georgia,Wilkinson,957,27
Georgia,Pulaski,953,48
Georgia,Hancock,937,69
Georgia,Montgomery,930,23
Georgia,Heard,911,23
Georgia,Long,901,14
Georgia,Macon,899,37
Georgia,Treutlen,885,34
Georgia,McIntosh,882,16
Georgia,Jenkins,882,44
Georgia,Miller,867,14
Georgia,Lincoln,852,28
Georgia,Wilcox,851,48
Georgia,Terrell,832,49
Georgia,Taylor,826,26
Georgia,Lanier,810,14
Georgia,Twiggs,743,47
Georgia,Crawford,685,21
Georgia,Randolph,660,34
Georgia,Wheeler,651,25
Georgia,Marion,593,25
Georgia,Calhoun,591,16
Georgia,Warren,555,20
Georgia,Talbot,507,19
Georgia,Echols,486,9
Georgia,Schley,357,5
Georgia,Glascock,274,19
Georgia,Baker,261,10
Georgia,Clay,241,3
Georgia,Quitman,176,3
Georgia,Webster,153,4
Georgia,Taliaferro,124,3
Guam,Unknown,"9,455",144
Hawaii,Honolulu,"29,036",406
Hawaii,Maui,"5,041",57
Hawaii,Hawaii,"3,508",56
Hawaii,Kauai,480,2
Hawaii,Kalawao,1,0
Idaho,Ada,"54,532",490
Idaho,Canyon,"28,023",316
Idaho,Kootenai,"19,380",219
Idaho,Bonneville,"15,169",177
Idaho,Twin Falls,"10,044",133
Idaho,Bannock,"8,981",113
Idaho,Madison,"7,402",28
Idaho,Bingham,"4,903",77
Idaho,Nez Perce,"3,800",60
Idaho,Bonner,"3,432",46
Idaho,Latah,"3,237",12
Idaho,Jefferson,"3,064",33
Idaho,Cassia,"2,992",28
Idaho,Jerome,"2,687",24
Idaho,Payette,"2,646",38
Idaho,Blaine,"2,423",19
Idaho,Minidoka,"2,376",33
Idaho,Elmore,"2,169",19
Idaho,Gem,"1,885",42
Idaho,Idaho,"1,393",18
Idaho,Gooding,"1,353",23
Idaho,Franklin,"1,259",17
Idaho,Shoshone,"1,257",36
Idaho,Washington,"1,243",22
Idaho,Teton,"1,243",4
Idaho,Fremont,"1,153",14
Idaho,Owyhee,"1,100",31
Idaho,Clearwater,"1,089",14
Idaho,Boundary,906,11
Idaho,Valley,904,6
Idaho,Benewah,776,10
Idaho,Caribou,718,12
Idaho,Power,684,9
Idaho,Lemhi,544,9
Idaho,Lincoln,514,11
Idaho,Lewis,441,11
Idaho,Bear Lake,418,2
Idaho,Boise,394,2
Idaho,Oneida,378,4
Idaho,Adams,346,4
Idaho,Custer,259,3
Idaho,Butte,212,1
Idaho,Camas,73,0
Idaho,Clark,59,0
Illinois,Cook,"560,155","11,105"
Illinois,DuPage,"93,155","1,410"
Illinois,Will,"77,522","1,115"
Illinois,Lake,"68,872","1,097"
Illinois,Kane,"59,828",867
Illinois,Winnebago,"34,492",553
Illinois,St. Clair,"32,588",570
Illinois,Madison,"31,928",607
Illinois,McHenry,"29,394",326
Illinois,Peoria,"23,661",374
Illinois,Champaign,"21,371",166
Illinois,Sangamon,"19,404",286
Illinois,McLean,"18,730",229
Illinois,Tazewell,"17,352",341
Illinois,Rock Island,"15,314",372
Illinois,Kankakee,"14,700",232
Illinois,Kendall,"13,977",109
Illinois,LaSalle,"12,879",308
Illinois,Macon,"11,085",224
Illinois,DeKalb,"10,462",127
Illinois,Vermilion,"10,141",170
Illinois,Adams,"9,314",157
Illinois,Williamson,"7,878",150
Illinois,Whiteside,"7,322",216
Illinois,Boone,"6,902",92
Illinois,Ogle,"6,266",92
Illinois,Grundy,"6,026",83
Illinois,Clinton,"5,844",101
Illinois,Coles,"5,824",103
Illinois,Knox,"5,707",188
Illinois,Jackson,"5,304",76
Illinois,Henry,"5,117",99
Illinois,Livingston,"4,924",104
Illinois,Macoupin,"4,906",118
Illinois,Woodford,"4,901",96
Illinois,Stephenson,"4,872",105
Illinois,Effingham,"4,795",85
Illinois,Franklin,"4,723",90
Illinois,Marion,"4,663",123
Illinois,Jefferson,"4,590",124
Illinois,Monroe,"4,455",94
Illinois,Randolph,"4,250",93
Illinois,Lee,"4,218",93
Illinois,Morgan,"4,195",114
Illinois,Fulton,"4,086",67
Illinois,Logan,"4,046",78
Illinois,Christian,"3,913",93
Illinois,Bureau,"3,832",100
Illinois,Montgomery,"3,825",80
Illinois,Perry,"3,252",70
Illinois,Fayette,"3,248",59
Illinois,Iroquois,"3,237",70
Illinois,McDonough,"3,013",63
Illinois,Jersey,"2,752",71
Illinois,Saline,"2,664",73
Illinois,Douglas,"2,624",42
Illinois,Lawrence,"2,431",36
Illinois,Union,"2,417",45
Illinois,Shelby,"2,346",41
Illinois,Crawford,"2,160",42
Illinois,Bond,"2,108",30
Illinois,Cass,"2,089",36
Illinois,Carroll,"2,039",38
Illinois,Pike,"1,956",56
Illinois,Ford,"1,915",58
Illinois,Hancock,"1,888",42
Illinois,Clark,"1,886",42
Illinois,Warren,"1,860",53
Illinois,Wayne,"1,850",54
Illinois,Jo Daviess,"1,832",27
Illinois,Richland,"1,788",49
Illinois,Edgar,"1,780",62
Illinois,White,"1,752",36
Illinois,Washington,"1,674",31
Illinois,Moultrie,"1,657",36
Illinois,Mason,"1,616",48
Illinois,De Witt,"1,600",36
Illinois,Piatt,"1,547",20
Illinois,Clay,"1,526",48
Illinois,Johnson,"1,517",22
Illinois,Mercer,"1,512",34
Illinois,Greene,"1,494",47
Illinois,Wabash,"1,445",15
Illinois,Massac,"1,387",43
Illinois,Cumberland,"1,309",31
Illinois,Menard,"1,268",16
Illinois,Jasper,"1,168",20
Illinois,Marshall,"1,094",21
Illinois,Hamilton,872,19
Illinois,Schuyler,804,19
Illinois,Brown,798,12
Illinois,Pulaski,724,7
Illinois,Stark,653,25
