State,County,Cases,Deaths
Ohio,Hamilton,"82,075","1,259"
Ohio,Montgomery,"53,200","1,060"
Ohio,Summit,"48,752","1,013"
Ohio,Lucas,"43,634",831
Ohio,Butler,"39,814",614
Ohio,Stark,"33,687",937
Ohio,Lorain,"25,877",509
Ohio,Warren,"24,810",310
Oklahoma,Oklahoma,"88,919","1,319"
Oklahoma,Tulsa,"78,445","1,148"
Oklahoma,Cleveland,"31,896",445
Oklahoma,Canadian,"17,627",190
Oklahoma,Comanche,"14,832",201
Oklahoma,Rogers,"11,154",196
Oklahoma,Muskogee,"9,614",178
Oklahoma,Payne,"8,816",76
Oklahoma,Pottawatomie,"8,545",131
Oklahoma,Wagoner,"8,522",124
Oregon,Multnomah,"41,167",642
Oregon,Washington,"27,369",257
Oregon,Marion,"24,083",329
Oregon,Clackamas,"19,524",246
Oregon,Lane,"14,353",171
Oregon,Jackson,"12,074",151
Oregon,Deschutes,"10,307",87
Oregon,Umatilla,"9,079",92
Oregon,Linn,"6,007",81
Oregon,Yamhill,"4,944",80
Pennsylvania,Philadelphia,"155,608","3,776"
Pennsylvania,Allegheny,"102,398","2,025"
Pennsylvania,Montgomery,"70,790","1,739"
Pennsylvania,Bucks,"61,148","1,334"
Pennsylvania,Lancaster,"55,621","1,171"
Pennsylvania,Delaware,"52,601","1,459"
Pennsylvania,Berks,"48,630","1,044"
Pennsylvania,York,"47,250",836
Pennsylvania,Chester,"41,005",825
Pennsylvania,Lehigh,"40,058",865
Puerto Rico,San Juan,"23,023",
Puerto Rico,Bayamon,"12,795",
Puerto Rico,Carolina,"10,485",
Puerto Rico,Caguas,"7,429",
Puerto Rico,Unknown,"5,645","2,565"
Puerto Rico,Guaynabo,"5,383",
Puerto Rico,Toa Baja,"4,931",
Puerto Rico,Toa Alta,"4,819",
Puerto Rico,Ponce,"4,197",
Puerto Rico,Trujillo Alto,"3,731",
Rhode Island,Providence,"99,884","2,004"
Rhode Island,Kent,"18,944",367
Rhode Island,Unknown,"12,220",12
Rhode Island,Washington,"10,203",172
Rhode Island,Newport,"7,020",43
Rhode Island,Bristol,"5,205",146
South Carolina,Greenville,"76,242","1,041"
South Carolina,Richland,"48,477",581
South Carolina,Charleston,"44,582",518
South Carolina,Spartanburg,"42,386",833
South Carolina,Horry,"40,645",590
South Carolina,Lexington,"34,393",484
South Carolina,York,"32,612",398
South Carolina,Anderson,"23,461",533
South Carolina,Pickens,"19,186",305
South Carolina,Dorchester,"18,829",226
South Dakota,Minnehaha,"31,851",366
South Dakota,Pennington,"14,041",206
South Dakota,Lincoln,"8,736",78
South Dakota,Brown,"5,650",95
South Dakota,Codington,"4,658",83
South Dakota,Brookings,"4,248",37
South Dakota,Davison,"3,258",69
South Dakota,Yankton,"3,115",34
South Dakota,Lawrence,"3,035",48
South Dakota,Beadle,"2,968",40
Tennessee,Shelby,"102,243","1,712"
Tennessee,Davidson,"100,360",958
Tennessee,Knox,"52,591",651
Tennessee,Hamilton,"46,206",510
Tennessee,Rutherford,"44,154",451
Tennessee,Williamson,"29,014",219
Tennessee,Sumner,"25,015",359
Tennessee,Montgomery,"21,343",237
Tennessee,Wilson,"19,575",252
Tennessee,Sullivan,"17,513",313
Texas,Harris,"409,418","6,664"
Texas,Dallas,"310,721","4,152"
Texas,Tarrant,"267,874","3,608"
Texas,Bexar,"233,179","3,658"
Texas,El Paso,"137,404","2,752"
Texas,Collin,"94,430",856
Texas,Hidalgo,"93,041","2,930"
Texas,Travis,"86,361","1,045"
Texas,Denton,"78,476",786
Texas,Fort Bend,"71,108",733
Utah,Salt Lake,"157,126",931
Utah,Utah,"101,188",414
Utah,Davis,"40,959",188
Utah,Weber,"31,673",220
Utah,Washington,"22,257",212
Utah,Cache,"16,854",52
Utah,Tooele,"7,927",48
Utah,Iron,"6,382",37
Utah,Box Elder,"5,840",56
Utah,Summit,"5,739",15
Vermont,Chittenden,"7,614",107
Vermont,Rutland,"2,304",20
Vermont,Bennington,"2,060",15
Vermont,Franklin,"2,044",39
Vermont,Washington,"1,922",15
Vermont,Windsor,"1,531",13
Vermont,Windham,"1,410",14
Vermont,Orleans,"1,305",11
Vermont,Caledonia,"1,085",7
Vermont,Addison,"1,080",8
Virgin Islands,St. Thomas,"2,332",20
Virgin Islands,St. Croix,"1,625",11
Virgin Islands,St. John,258,1
Virginia,Fairfax,"77,680","1,124"
Virginia,Prince William,"46,120",512
Virginia,Virginia Beach city,"36,881",420
Virginia,Chesterfield,"28,566",454
Virginia,Loudoun,"28,315",283
Virginia,Henrico,"26,222",641
Virginia,Chesapeake city,"21,518",311
Virginia,Norfolk city,"18,202",274
Virginia,Richmond city,"17,388",275
Virginia,Arlington,"15,410",258
Washington,King,"114,969","1,686"
Washington,Pierce,"58,383",664
Washington,Spokane,"48,188",692
Washington,Snohomish,"41,552",614
Washington,Yakima,"32,463",455
Washington,Clark,"26,553",294
Washington,Benton,"18,775",234
Washington,Franklin,"13,335",118
Washington,Thurston,"11,535",119
Washington,Grant,"10,877",133
West Virginia,Kanawha,"15,579",361
West Virginia,Berkeley,"12,966",134
West Virginia,Monongalia,"9,445",91
West Virginia,Cabell,"8,990",178
West Virginia,Wood,"7,989",176
West Virginia,Raleigh,"7,132",100
West Virginia,Harrison,"6,255",82
West Virginia,Putnam,"5,399",94
West Virginia,Mercer,"5,236",129
West Virginia,Jefferson,"4,822",60
Wisconsin,Milwaukee,"118,916","1,437"
Wisconsin,Waukesha,"49,477",640
Wisconsin,Dane,"47,070",338
Wisconsin,Brown,"35,791",306
Wisconsin,Racine,"25,458",400
Wisconsin,Outagamie,"24,016",245
Wisconsin,Winnebago,"21,598",228
Wisconsin,Kenosha,"18,976",338
Wisconsin,Rock,"18,490",209
Wisconsin,Washington,"17,022",201
Wyoming,Laramie,"11,263",129
Wyoming,Natrona,"8,334",140
Wyoming,Fremont,"5,369",87
Wyoming,Campbell,"5,256",61
Wyoming,Sweetwater,"4,917",43
Wyoming,Albany,"4,711",18
Wyoming,Teton,"3,853",11
Wyoming,Sheridan,"3,289",31
Wyoming,Park,"2,936",33
Wyoming,Uinta,"2,361",13
